"","V1"
"1",0.212965924791984
"2",0.1886036622647
"3",0.166858393060535
"4",0.157441099320652
"5",0.154679999898524
"6",0.156814789076491
"7",0.159556290910608
"8",0.161469183771014
"9",0.163175114718236
"10",0.165617087309347
"11",0.171200966837652
"12",0.182765178969458
"13",0.198120931160269
"14",0.209918278562713
"15",0.215478100096603
"16",0.208459812664633
"17",0.208341906672782
"18",0.209416228583417
"19",0.220109276776713
"20",0.243380813126591
"21",0.257942928111326
"22",0.261090874459804
"23",0.25931472741022
"24",0.25376302191787
"25",0.246452494475151
"26",0.239135667689447
"27",0.236352374144133
"28",0.236446474551436
"29",0.237383409131973
"30",0.238194488708746
"31",0.238311712921011
"32",0.237119831190418
"33",0.236810857152227
"34",0.239745614767267
"35",0.233179179330148
"36",0.209369443815921
"37",0.187874800522991
"38",0.180873039518153
"39",0.181977650002669
"40",0.179150728575169
"41",0.171783765185202
"42",0.159944884867556
"43",0.144788395338175
"44",0.137169659660189
"45",0.137194910536826
"46",0.142435546529242
"47",0.147409145290904
"48",0.147361413245107
"49",0.136462780552643
"50",0.117006375429024
"51",0.0984769190368532
"52",0.0878682503114168
"53",0.0836550402057635
"54",0.0805255555512575
"55",0.0740613058250635
"56",0.0718408112572922
"57",0.0766724234390768
"58",0.0829544406957181
"59",0.0797024911370042
"60",0.073047113373354
"61",0.06927666855231
"62",0.0626805507411371
"63",0.0523894308280765
"64",0.0415675859046443
"65",0.0370441685197649
"66",0.035920488246625
"67",0.0365598519420238
"68",0.0391586831781338
"69",0.0464956864413723
"70",0.0620636502057682
"71",0.0781747021005297
"72",0.0869337835802149
"73",0.0928383163892056
"74",0.0955909699807199
"75",0.0960935686174347
"76",0.0953820267894352
"77",0.101942956262563
"78",0.107679110452034
"79",0.111038080360617
"80",0.114719121629651
"81",0.122083787772962
"82",0.130600595123288
"83",0.13438244482989
"84",0.135002863444561
"85",0.140282419628698
"86",0.154758915412053
"87",0.181131387241441
"88",0.210278955973668
"89",0.122843843974906
"90",0.166523830839939
"91",0.0504693962354976
"92",0.242717547290763
"93",0.0410066603913098
"94",0.0481186478288171
"95",0.0660765783876276
"96",0.23901129678854
"97",0.244347012962869
"98",0.25305624916194
"99",0.13389182266383
"100",0.14605028068661
"101",0.1228131311365
"102",0.163361333959198
"103",0.13710883870793
"104",0.133674175862715
"105",0.16810494663805
"106",0.150982838065366
"107",0.153665418533126
"108",0.170556599988449
"109",0.130189947769669
"110",0.13128515469392
"111",0.132438341675754
"112",0.136212944318696
"113",0.149173063270055
"114",0.13853163799052
"115",0.171054649393107
"116",0.197938869476256
"117",0.152137305331258
"118",0.157075590203061
"119",0.157526889771523
"120",0.155985377384538
"121",0.167547171429508
"122",0.182735886424565
"123",0.173721262665609
"124",0.182563532027034
"125",0.137611295085773
"126",0.139867818920528
"127",0.141085505158417
"128",0.140048998275715
"129",0.144979907208334
"130",0.165592143614026
"131",0.162799899534395
"132",0.148742244553085
"133",0.160470928229389
"134",0.175840205201693
"135",0.175776987818157
"136",0.193755510845174
"137",0.112177961275768
"138",0.172872652027995
"139",0.180768159945829
"140",0.182517981710069
"141",0.182046479277288
"142",0.184106543283784
"143",0.188725759714434
"144",0.185678054122989
"145",0.195729438105678
"146",0.203903947614045
"147",0.1902807001032
"148",0.126991527791165
"149",0.122618122755831
"150",0.183098577998693
"151",0.20476494818775
"152",0.191544631648657
"153",0.19181387372034
"154",0.204494838638348
"155",0.196178625531139
"156",0.215581865336236
"157",0.205739143826805
"158",0.211594904144513
"159",0.0379800966934289
"160",0.0628153753677159
"161",0.237624305376303
"162",0.254620504919584
"163",0.112914468338738
"164",0.11688742848452
"165",0.106660732118832
"166",0.110819753030672
"167",0.0961495552394759
"168",0.103182503256978
"169",0.100306515589595
"170",0.100309982265398
"171",0.106466587063118
"172",0.0963306761933378
"173",0.0939418546582733
"174",0.0934425343153215
"175",0.126441276737461
"176",0.150079204910207
"177",0.155009706955829
"178",0.230197308466462
"179",0.0890120848531641
"180",0.0914176926165134
"181",0.0880446394198121
"182",0.0881900579539501
"183",0.0929949953128225
"184",0.0850276055685075
"185",0.0968042078053417
"186",0.104684266265401
"187",0.219121459193314
"188",0.210491719844878
"189",0.221747373430702
"190",0.223584413955963
"191",0.226507319062253
"192",0.0952381434136375
"193",0.0935289801163301
"194",0.0887986389121811
"195",0.0818506622439617
"196",0.084526134594927
"197",0.223484650337011
"198",0.212083645011486
"199",0.0829481299721467
"200",0.0839686809989427
"201",0.0889173379655523
"202",0.0809193751313996
"203",0.0690357629176582
"204",0.0768715604739708
"205",0.076433837317772
"206",0.0700114430910855
"207",0.0851170105460218
"208",0.0632423094807715
"209",0.0693490333882796
"210",0.0655267493988841
"211",0.0750214415435957
"212",0.0814106957198363
"213",0.0893733591311157
"214",0.0777375988175933
