"","V1","V2"
"1",463.316436639147,107.227832241891
"2",468.675258712236,110.860144793264
"3",468.590443068625,111.97757834182
"4",433.772804453828,112.675416299001
"5",457.313776435306,114.452942435722
"6",458.767648737503,114.48392548561
"7",478.976599953229,131.213516447902
"8",479.020336487771,148.484110534632
"9",479.469169794673,151.478809440018
"10",477.307769314361,154.734120609098
"11",422.951657725124,93.4510083846737
"12",469.886996980964,109.546554061211
"13",470.722209991164,109.216670878091
"14",448.426516697368,113.877363859302
"15",465.417759248031,119.06056192154
"16",476.379988260193,131.085535872703
"17",479.495236058578,147.545771749549
"18",477.618235249629,147.820095619628
"19",476.823844461328,149.55372867009
"20",477.781854906793,149.262452298052
"21",482.020450093409,152.867364049516
"22",480.345629499502,154.06431318072
"23",479.084688643551,154.453839269326
"24",486.172856885682,155.30682529006
"25",459.733427612785,159.606946216988
"26",459.862772255296,159.660074049
"27",464.280464593296,161.181596473534
"28",474.211830491524,108.867056856024
"29",471.096745626976,109.572156013547
"30",470.707537104584,110.023694181325
"31",471.250471893906,113.575693069933
"32",467.961227671451,118.543586370394
"33",476.164939812243,143.399997624428
"34",479.822869043889,152.594123137159
"35",485.643198779759,154.060998904262
"36",483.866973088913,154.456755086522
"37",484.389743435405,155.548981767822
"38",463.617313703148,155.678194980695
"39",482.069393144081,155.992244327882
"40",485.573739016753,156.107429269095
"41",455.536391636914,159.1394896592
"42",456.738215946335,100.911812894371
"43",444.752230826857,119.297087149787
"44",443.056676750629,144.738358880718
"45",485.242759203397,150.313114096852
"46",484.839660830189,151.103352858544
"47",484.292810875548,153.9485248639
"48",464.611364098823,156.949524712492
"49",465.06565614892,157.527942327292
"50",463.261341788898,159.359890692028
"51",462.082276370584,160.055097013804
"52",471.68882819542,106.08211259751
"53",472.486160930105,108.403621862152
"54",439.440800533954,112.845635956129
"55",434.363244369019,113.505043281567
"56",434.342437132353,115.008982295612
"57",444.99875616629,119.412223141965
"58",445.26356952146,120.512184835364
"59",444.938232923134,128.373510483279
"60",479.069434783397,155.095988318765
"61",487.727495486241,155.164139999984
"62",461.330927725624,160.611499366326
"63",461.434817769773,160.954251855238
"64",460.461175386187,161.805785218229
"65",450.176646316632,104.799316632188
"66",450.407290344218,105.084824332594
"67",434.748297900402,111.28255146332
"68",434.028927478798,113.371510043367
"69",435.53279667741,113.31873233905
"70",466.598483544866,113.816521488455
"71",443.996689823082,130.973308665537
"72",464.025520309548,153.483605293766
"73",459.763066087359,159.692631209361
"74",460.808561531918,160.755708586051
"75",461.707062995153,161.618888533533
"76",464.553459507738,162.642481151595
"77",464.681323531059,162.765622919052
"78",447.365230169821,100.231611625966
"79",457.233718413602,101.284237430756
"80",464.191108389151,105.76974363157
"81",439.069647847883,106.530664510535
"82",471.067649428359,106.231334749119
"83",456.535941396,115.66795842382
"84",442.672496546268,117.824864673055
"85",448.727250872621,130.059460095222
"86",441.66642768341,131.469548123049
"87",476.459776417677,137.205232698562
"88",465.030661683388,150.924487677844
"89",460.25048201389,102.14777336663
"90",451.539484625308,104.721435251854
"91",452.588393322749,105.4402924082
"92",452.704623909642,105.150818083295
"93",451.410391217073,107.947982382005
"94",446.877876975782,109.398190037556
"95",450.693568395426,110.555447394935
"96",444.862066118371,113.1306762496
"97",433.038469518161,114.33722194957
"98",468.566801264857,114.442078238562
"99",447.908598620652,117.258896301709
"100",444.28413892791,118.467438594763
"101",444.384443319145,118.799756990721
"102",445.845005000218,119.778895491128
"103",446.343158902925,119.897442384249
"104",480.467457388503,135.289055018429
"105",480.40441815995,143.923885997826
"106",431.243781719565,96.0465964599036
"107",466.357661380175,98.3158398782591
"108",464.473232910129,101.513924555945
"109",465.197555425436,101.602430665841
"110",464.230285673377,102.998710104589
"111",464.19426280863,104.255102835804
"112",465.235586642961,104.761185268498
"113",439.398224355977,106.114961723773
"114",453.180237882513,107.444287442694
"115",452.205103964986,109.300632312287
"116",445.008953883986,110.199471534205
"117",445.105947182372,111.014858303684
"118",446.443844260739,110.945496559468
"119",438.623896059788,111.636601194948
"120",440.870058615783,111.342907737101
"121",441.007784836784,113.958796075521
"122",466.998484386572,114.224210882884
"123",439.648192720696,114.730828136414
"124",439.321036785001,114.686368437925
"125",440.596279092225,114.651846650032
"126",438.255941564076,115.293284723511
"127",440.473742545092,115.625818231235
"128",440.425765437631,115.678974036452
"129",441.208387142372,116.394175533414
"130",444.775581845407,120.112459279922
"131",444.425500550166,120.218170565296
"132",445.484137154858,120.436280906176
"133",477.979076057298,134.218881280253
"134",477.564542336714,134.992686648247
"135",481.968815247154,135.972544557041
"136",458.858364553981,161.865693740639
"137",463.786599953168,102.542938931355
"138",465.41616109989,102.224064171523
"139",465.572744170295,103.237739560868
"140",463.720607003405,104.336395473894
"141",464.105304259549,104.232046384573
"142",462.828774830302,104.822847072942
"143",465.146089740655,104.748224681801
"144",461.872546299452,105.731578851909
