"","V1","V2"
"1",438.721602352605,161.79557168784
"2",439.700105278785,160.490163339383
"3",435.786093574062,159.329800362976
"4",432.52441715346,160.200072595281
"5",433.01366861655,154.978439201452
"6",431.872081869339,154.398257713249
"7",432.035165690369,151.642395644283
"8",431.872081869339,149.901851179673
"9",429.588908374917,151.207259528131
"10",427.631902522556,150.482032667877
"11",426.001064312254,148.596442831216
"12",420.94546586032,148.596442831216
"13",421.434717323411,144.535172413793
"14",423.391723175772,143.95499092559
"15",423.065555533712,142.069401088929
"16",424.207142280923,139.748675136116
"17",423.880974638863,136.557676950998
"18",426.164148133284,135.832450090744
"19",425.348729028134,132.641451905626
"20",425.837980491224,131.190998185118
"21",425.511812849164,126.404500907441
"22",427.468818701525,125.389183303085
"23",427.631902522556,124.083774954628
"24",426.164148133284,122.198185117967
"25",427.958070164616,120.022504537205
"26",426.653399596375,117.701778584392
"27",425.674896670194,117.991869328494
"28",424.044058459893,116.396370235935
"29",419.477711471049,119.877459165154
"30",418.009957081778,120.167549909256
"31",414.259029198085,121.472958257713
"32",412.791274808814,121.472958257713
"33",410.834268956452,123.503593466425
"34",408.55109546203,121.182867513612
"35",409.203430746151,122.923411978221
"36",402.843161725976,120.602686025408
"37",409.203430746151,112.770235934664
"38",411.323520419542,114.800871143376
"39",413.117442450874,114.075644283122
"40",412.302023345723,111.319782214156
"41",410.997352777482,111.174736842105
"42",410.181933672331,107.403557168784
"43",412.138939524693,106.098148820327
"44",413.443610092934,106.968421052632
"45",414.748280661175,104.212558983666
"46",413.117442450874,100.876515426497
"47",415.237532124266,96.380108892922
"48",417.846873260748,97.5404718693285
"49",418.173040902808,93.914337568058
"50",422.902471712682,94.9296551724138
"51",421.597801144441,93.6242468239564
"52",430.078159838008,90.7233393829401
"53",433.01366861655,95.3647912885663
"54",434.155255363761,94.9296551724138
"55",442.635614057328,97.3954264972777
"56",442.961781699388,98.5557894736842
"57",446.223458119991,98.4107441016334
"58",448.832799256473,102.326969147005
"59",446.875793404111,103.632377495463
"60",446.712709583081,104.647695099819
"61",444.266452267629,106.533284936479
"62",439.373937636725,111.754918330309
"63",443.777200804539,110.014373865699
"64",448.343547793382,105.082831215971
"65",453.725313887377,102.326969147005
"66",460.737918191672,97.5404718693285
"67",462.205672580944,99.1359709618875
"68",461.553337296823,101.31165154265
"69",459.433247623431,104.792740471869
"70",458.943996160341,105.372921960073
"71",462.042588759914,104.792740471869
"72",464.162678433305,104.067513611615
"73",463.836510791245,103.05219600726
"74",463.347259328155,101.746787658802
"75",462.694924044034,100.006243194192
"76",463.347259328155,98.700834845735
"77",464.325762254335,97.8305626134301
"78",468.402857780089,98.700834845735
"79",468.565941601119,99.8611978221416
"80",467.261271032878,103.777422867514
"81",469.381360706269,103.487332123412
"82",470.35986363245,105.372921960073
"83",471.827618021721,104.647695099819
"84",475.741629726445,105.082831215971
"85",475.741629726445,107.983738656987
"86",473.621540053053,111.029691470054
"87",474.926210621294,113.930598911071
"88",475.578545905415,114.655825771325
"89",474.926210621294,116.541415607985
"90",477.372467936746,122.778366606171
"91",477.698635578806,123.358548094374
"92",477.861719399836,125.099092558984
"93",480.960311999409,127.854954627949
"94",481.449563462499,130.900907441016
"95",482.26498256765,129.595499092559
"96",485.037407525162,130.465771324864
"97",487.483664840614,132.931542649728
"98",487.646748661644,134.672087114338
"99",487.809832482674,135.542359346642
"100",486.505161914433,135.977495462795
"101",484.711239883102,138.298221415608
"102",484.058904598981,140.909038112523
"103",482.42806638868,139.748675136116
"104",482.10189874662,143.374809437387
"105",480.797228178379,146.130671506352
"106",483.080401672801,150.046896551724
"107",488.299083945765,148.596442831216
"108",488.625251587825,154.108166969147
"109",487.972916303705,157.299165154265
"110",484.221988420011,160.925299455535
"111",482.10189874662,162.230707803993
"112",478.514054683957,162.085662431942
"113",474.926210621294,163.681161524501
"114",466.445851927727,162.810889292196
"115",463.510343149185,165.566751361162
"116",461.390253475793,164.261343012704
"117",459.922499086522,162.665843920145
"118",458.29166087622,163.100980036298
"119",447.365044867202,164.261343012704
"120",441.004775847026,163.971252268603
"121",476.292462710836,123.767299749686
"122",457.231616039525,99.9337205081667
"123",474.20423597345,115.236007259528
"124",425.712233923567,116.322475504857
"125",444.61884566145,103.790615097934
"126",465.629021485188,103.03640646306
"127",466.075313867498,99.6196025601534
"128",411.898850480851,109.006065131448
"129",438.395434710545,96.1625408348457
"130",430.347310967655,125.085900328565
"131",433.251567607977,153.097135181396
"132",440.312519784478,98.6744503848941
"133",418.122289752943,116.877713739843
"134",413.525152003449,118.328167460351
"135",428.701077377029,132.964488644492
"136",472.489530332002,107.835184833648
"137",483.300010164947,131.149404363829
"138",476.14933927902,119.659891107078
"139",455.577224502123,106.843038847956
"140",457.945532844944,104.034567616851
"141",472.337293159028,113.351114644838
"142",424.719820335602,112.785212576838
"143",429.138092971713,114.995598142872
"144",471.768272941757,117.435604595898
"145",425.382493699857,92.3296031428707
"146",405.445758478435,121.552317842707
"147",426.693452259599,142.412855772504
"148",458.174763196165,159.389199981151
"149",485.550308514157,133.990604832622
"150",467.913606316999,101.819310344828
"151",434.882209869733,150.497723636814
"152",437.163474781852,154.547506368154
"153",481.898601330215,134.571098635779
"154",425.674896670194,128.79774954628
"155",423.473265086287,148.596442831216
"156",429.509374373772,148.418801794927
"157",446.548263321151,101.021731007409
"158",463.220498189246,161.104769695997
"159",414.898062404346,109.675428165033
"160",459.646151698384,102.536261362268
"161",464.656494905285,108.97260263793
"162",474.223609709077,127.795464412797
"163",463.837254007757,106.577677322753
