"","V1","V2","V3"
"355",273,223,135
"356",245,586,341
"357",584,493,225
"358",312,215,317
"359",189,246,110
"360",208,246,235
"361",426,193,423
"362",253,345,483
"363",318,325,313
"364",464,321,312
"365",344,491,492
"366",252,343,342
"367",228,311,315
"368",324,161,327
"369",222,251,234
"370",586,251,341
"371",342,343,230
"372",342,230,249
"373",345,240,247
"374",497,500,495
"375",249,230,254
"376",230,244,273
"377",130,254,255
"378",230,255,254
"379",348,346,349
"380",46,256,347
"381",134,259,31
"382",361,362,542
"383",134,261,260
"384",263,39,363
"385",258,30,259
"386",133,258,260
"387",261,134,745
"388",39,261,38
"389",538,539,756
"390",703,28,542
"391",363,39,40
"392",263,262,752
"393",83,84,264
"394",85,264,84
"395",151,269,268
"396",136,85,265
"397",266,152,549
"398",484,576,577
"399",365,596,598
"400",151,268,266
"401",543,364,271
"402",293,151,8
"403",336,182,333
"404",364,270,271
"405",544,599,600
"406",543,268,267
"407",365,271,270
"408",135,20,272
"409",223,273,244
"410",135,272,273
"411",12,274,155
"412",14,368,275
"413",275,368,369
"414",94,153,370
"415",165,92,276
"416",277,94,278
"417",553,283,284
"418",277,279,165
"419",283,278,284
"420",164,281,162
"421",396,398,200
"422",308,429,433
"423",165,279,281
"424",279,283,282
"425",428,215,229
"426",434,436,445
"427",278,370,284
"428",282,283,280
"429",216,200,284
"430",200,404,553
"431",184,371,132
"432",285,132,371
"433",291,286,173
"434",288,286,186
"435",288,287,80
"436",163,287,186
"437",81,288,80
"438",286,288,82
"439",297,289,188
"440",169,37,289
"441",375,377,356
"442",386,383,378
"443",286,291,186
"444",746,291,173
"445",554,616,617
"446",398,405,404
"447",722,201,182
"448",151,293,690
"449",183,294,184
"450",125,203,294
"451",297,296,169
"452",203,61,412
"453",146,296,34
"454",289,297,169
"455",188,296,297
"456",189,298,170
"457",206,207,298
"458",733,706,731
"459",621,619,583
"460",627,236,626
"461",627,300,208
"462",750,108,300
"463",749,627,626
"464",386,607,609
"465",421,422,550
"466",395,552,104
"467",303,395,396
"468",333,304,202
"469",201,304,182
"470",306,305,156
"471",304,305,219
"472",11,306,156
"473",306,275,369
"474",144,307,214
"475",89,138,307
"476",566,404,400
"477",398,404,200
"478",215,312,311
"479",243,309,228
"480",310,311,312
"481",471,472,469
"482",215,311,309
"483",311,318,315
"484",431,317,215
"485",321,310,312
"486",313,315,318
"487",323,326,187
"488",282,439,436
"489",514,506,516
"490",318,311,310
"491",315,313,319
"492",455,454,447
"493",471,469,329
"494",215,428,431
"495",317,564,569
"496",325,318,330
"497",571,465,326
"498",313,323,319
"499",187,328,323
"500",228,315,320
"501",319,320,315
"502",464,312,317
"503",469,322,325
"504",330,310,331
"505",472,476,322
"506",325,466,313
"507",468,324,328
"508",250,319,324
"509",328,319,323
"510",330,318,310
"511",467,326,466
"512",466,323,313
"513",325,467,466
"514",291,327,161
"515",250,327,198
"516",187,204,468
"517",319,328,324
"518",331,329,330
"519",331,751,329
"520",331,310,321
"521",330,329,469
"522",751,321,570
"523",329,751,332
"524",339,496,503
"525",483,574,481
"526",202,233,333
"527",334,333,233
"528",234,334,233
"529",336,334,760
"530",585,693,586
"531",451,453,455
"532",760,334,232
"533",685,579,335
"534",299,707,581
"535",409,711,397
"536",489,488,62
"537",322,469,472
"538",490,492,493
"539",496,494,497
"540",340,198,746
"541",243,340,176
"542",222,341,251
"543",754,341,252
"544",249,344,342
"545",754,505,511
"546",222,343,252
"547",230,343,244
"548",491,344,249
"549",505,754,755
"550",488,345,247
"551",345,338,483
"552",350,541,358
"553",384,381,380
"554",348,347,256
"555",347,348,349
"556",256,48,348
"557",541,353,348
"558",355,349,346
"559",537,45,352
"560",390,389,50
"561",346,353,354
"562",354,359,387
"563",702,539,704
"564",352,45,540
"565",352,540,538
"566",541,348,48
"567",354,353,350
"568",357,354,350
"569",357,359,354
"570",387,346,354
"571",355,351,538
"572",357,358,356
"573",375,290,374
"574",358,357,350
"575",359,357,356
"576",358,541,360
"577",358,50,389
"578",171,422,379
"579",359,379,381
"580",48,49,360
"581",49,50,360
"582",30,361,29
"583",361,133,362
"584",133,752,362
"585",262,756,539
"586",756,363,159
"587",263,363,262
"588",269,576,267
"589",578,692,691
"590",596,365,270
"591",365,2,545
"592",21,366,154
"593",255,366,22
"594",155,367,11
"595",274,275,367
"596",368,14,15
"597",369,368,147
"598",217,369,147
"599",306,369,219
"600",284,370,216
"601",94,370,278
"602",561,184,294
"603",412,414,753
"604",379,359,377
"605",172,605,550
"606",412,753,203
"607",550,372,421
"608",375,374,171
"609",290,392,391
"610",377,375,171
"611",375,356,389
"612",191,376,53
"613",374,290,376
"614",421,378,422
"615",356,377,359
"616",417,420,418
"617",386,302,607
"618",171,379,377
"619",383,381,379
"620",386,609,383
"621",610,612,615
"622",615,384,380
"623",359,381,387
"624",382,376,391
"625",382,53,376
"626",380,381,383
"627",355,385,351
"628",346,387,385
"629",346,385,355
"630",382,391,52
"631",386,421,420
"632",607,302,608
"633",381,384,387
"634",385,387,384
"635",390,392,389
"636",51,390,50
"637",375,389,290
"638",358,389,356
"639",390,145,392
"640",290,391,376
"641",52,391,388
"642",392,290,389
"643",388,392,145
"644",394,393,105
"645",395,393,292
"646",394,555,408
"647",399,401,403
"648",396,395,292
"649",395,303,103
"650",399,398,396
"651",303,396,200
"652",401,407,403
"653",400,405,406
"654",399,396,292
"655",398,397,405
"656",292,401,399
"657",407,401,394
"658",397,403,410
"659",308,444,430
"660",393,401,292
"661",407,402,403
"662",337,583,619
"663",568,449,461
"664",403,402,410
"665",397,399,403
"666",566,448,456
"667",553,404,280
"668",406,405,397
"669",404,405,400
"670",738,484,687
"671",451,447,450
"672",616,394,408
"673",394,616,407
"674",555,394,105
"675",625,236,486
"676",409,410,411
"677",409,411,636
"678",411,410,402
"679",397,410,409
"680",407,616,402
"681",642,635,567
"682",61,295,412
"683",414,415,413
"684",559,372,373
"685",418,372,559
"686",415,414,295
"687",413,419,753
"688",295,62,415
"689",415,62,416
"690",426,62,247
"691",417,416,425
"692",386,420,302
"693",413,416,417
"694",413,417,418
"695",417,302,420
"696",373,371,560
"697",560,561,419
"698",421,386,378
"699",372,418,420
"700",378,379,422
"701",372,420,421
"702",191,606,171
"703",191,172,550
"704",776,778,732
"705",580,581,582
"706",143,563,209
"707",302,417,425
"708",426,425,416
"709",302,425,424
"710",62,426,416
"711",193,426,247
"712",153,427,216
"713",103,427,180
"714",429,229,196
"715",428,308,430
"716",432,429,196
"717",308,428,429
"718",436,439,440
"719",569,564,314
"720",428,430,431
