"","V1","V2","V3"
"355",231,264,447
"356",249,246,307
"357",301,302,333
"358",176,174,187
"359",208,207,209
"360",297,252,486
"361",166,167,168
"362",252,217,472
"363",468,471,527
"364",46,47,146
"365",55,56,144
"366",254,265,450
"367",57,58,160
"368",44,45,161
"369",219,224,229
"370",316,315,510
"371",248,246,249
"372",219,218,223
"373",346,339,391
"374",225,204,520
"375",206,208,343
"376",181,180,182
"377",206,207,208
"378",303,286,416
"379",200,201,202
"380",140,199,200
"381",193,181,483
"382",301,225,302
"383",209,220,222
"384",222,274,278
"385",273,262,485
"386",349,347,350
"387",349,350,351
"388",278,279,315
"389",271,262,273
"390",15,16,442
"391",229,230,312
"392",167,165,191
"393",41,40,140
"394",32,31,141
"395",368,370,372
"396",208,210,211
"397",140,40,199
"398",372,387,399
"399",468,469,470
"400",246,243,307
"401",200,199,201
"402",315,317,388
"403",320,323,490
"404",309,273,328
"405",283,284,285
"406",203,204,225
"407",319,312,393
"408",271,273,308
"409",179,181,193
"410",255,257,320
"411",259,275,277
"412",50,51,137
"413",329,330,415
"414",340,339,346
"415",41,140,327
"416",38,136,215
"417",308,273,309
"418",204,202,205
"419",46,146,366
"420",141,31,379
"421",320,257,321
"422",277,275,398
"423",209,207,220
"424",219,223,224
"425",175,177,188
"426",252,472,486
"427",33,32,164
"428",300,225,301
"429",168,167,169
"430",349,351,356
"431",195,196,197
"432",170,172,194
"433",338,337,339
"434",171,169,192
"435",195,139,196
"436",202,201,426
"437",53,54,235
"438",52,53,185
"439",320,321,323
"440",255,256,257
"441",33,164,414
"442",206,205,207
"443",245,247,255
"444",195,197,198
"445",290,291,295
"446",366,146,373
"447",248,249,268
"448",173,139,195
"449",212,214,216
"450",35,139,173
"451",181,183,483
"452",241,237,465
"453",222,220,274
"454",268,269,281
"455",216,217,252
"456",365,367,368
"457",348,347,349
"458",35,34,139
"459",323,321,324
"460",323,324,334
"461",324,321,325
"462",38,37,136
"463",338,339,340
"464",257,256,259
"465",340,346,347
"466",170,171,172
"467",278,274,279
"468",255,247,256
"469",203,202,204
"470",265,289,313
"471",203,225,300
"472",9,10,478
"473",263,262,271
"474",315,279,317
"475",290,266,291
"476",394,393,413
"477",329,298,330
"478",229,312,319
"479",240,242,250
"480",168,169,170
"481",356,351,357
"482",371,367,503
"483",304,303,337
"484",200,202,203
"485",276,364,365
"486",243,241,251
"487",167,191,506
"488",281,283,344
"489",184,375,376
"490",286,284,305
"491",244,254,450
"492",54,55,143
"493",47,48,142
"494",285,284,286
"495",266,263,500
"496",356,357,397
"497",170,169,171
"498",239,237,240
"499",234,232,311
"500",259,261,275
"501",271,308,331
"502",204,205,206
"503",236,237,239
"504",378,358,407
"505",187,174,496
"506",287,286,303
"507",262,253,485
"508",304,337,338
"509",10,11,150
"510",63,62,151
"511",276,261,363
"512",245,246,247
"513",223,218,228
"514",376,375,377
"515",357,351,358
"516",274,220,354
"517",240,241,242
"518",242,243,245
"519",240,237,241
"520",365,364,367
"521",259,256,261
"522",317,318,381
"523",30,29,162
"524",43,42,163
"525",380,378,487
"526",254,253,262
"527",159,13,445
"528",276,363,364
"529",368,367,370
"530",182,180,186
"531",301,333,382
"532",275,261,276
"533",236,234,237
"534",229,319,472
"535",317,279,318
"536",182,186,306
"537",300,301,499
"538",340,347,348
"539",63,151,455
"540",242,241,243
"541",359,378,380
"542",247,246,248
"543",285,286,287
"544",245,243,246
"545",254,262,263
"546",254,263,265
"547",287,303,304
"548",229,224,230
"549",359,380,385
"550",22,23,498
"551",387,386,577
"552",359,358,378
"553",357,358,359
"554",236,239,244
"555",265,263,266
"556",319,393,394
"557",244,239,253
"558",370,367,371
"559",304,338,341
"560",265,266,289
"561",289,266,290
"562",231,232,233
"563",184,182,306
"564",231,227,232
"565",289,290,326
"566",267,298,329
"567",233,234,236
"568",233,232,234
"569",244,253,254
"570",263,271,500
"571",267,252,297
"572",13,14,445
"573",268,281,282
"574",150,11,460
"575",472,319,486
"576",291,266,500
"577",184,306,375
"578",154,75,458
"579",298,297,408
"580",224,227,230
"581",405,406,410
"582",230,227,231
"583",267,297,298
"584",231,233,264
"585",205,202,426
"586",461,396,561
"587",216,252,267
"588",191,418,487
"589",304,341,474
"590",364,363,505
"591",319,394,486
"592",468,467,469
"593",363,261,477
"594",169,167,506
"595",302,225,520
"596",342,135,390
"597",323,334,492
"598",328,273,485
"599",204,206,520
"600",247,248,477
"601",518,517,519
"602",287,304,474
"603",406,153,512
"604",23,155,498
"605",325,321,501
"606",387,577,583
"607",250,490,491
"608",334,403,591
"609",261,256,477
"610",242,245,475
"611",367,364,503
"612",494,346,497
"613",301,382,499
"614",255,320,475
"615",363,493,505
"616",256,247,477
"617",271,331,500
"618",233,236,451
"619",228,218,463
"620",502,361,574
"621",149,439,456
"622",17,135,342
"623",21,22,467
"624",153,77,512
"625",328,485,491
"626",435,158,452
"627",338,340,484
"628",211,212,489
"629",192,169,506
"630",492,334,524
"631",213,210,513
"632",449,264,451
"633",68,158,593
"634",64,63,455
"635",483,424,544
"636",315,388,510
"637",416,375,602
"638",11,12,460
"639",216,267,489
"640",248,268,493
"641",245,255,475
"642",384,383,554
"643",321,257,501
"644",469,498,511
"645",347,346,494
"646",148,467,468
"647",374,372,399
"648",149,456,457
"649",207,205,464
"650",156,9,478
"651",210,209,513
"652",417,416,602
"653",174,171,496
"654",503,364,505
"655",61,157,479
"656",208,211,343
"657",551,444,587
"658",148,468,527
"659",239,240,476
"660",220,207,464
"661",179,193,488
"662",212,216,489
"663",375,416,558
"664",350,494,495
"665",140,200,481
"666",253,476,485
"667",259,277,501
