"","x"
"1",-1.96642293844431
"2",-1.94351695295984
"3",-1.92725283124596
"4",-1.91725353128599
"5",-1.90792611082045
"6",-1.89737990145086
"7",-1.88605232166332
"8",-1.86771702931474
"9",-1.84128925709833
"10",-1.80867340264259
"11",-1.7874196402046
"12",-1.71256795083634
"13",-1.64287289682716
"14",-1.58767594565152
"15",-1.5371922806654
"16",-1.50778637434212
"17",-1.47822081478084
"18",-1.45577826254481
"19",-1.42521759595738
"20",-1.38630520819454
"21",-1.38231508773828
"22",-1.38112363638579
"23",-1.3923792631885
"24",-1.40484739903847
"25",-1.41577788206162
"26",-1.41939760150646
"27",-1.41647653927426
"28",-1.41146708871447
"29",-1.40588126900385
"30",-1.40245024216377
"31",-1.40184997254985
"32",-1.41846241051718
"33",-1.42830915079557
"34",-1.42367878248368
"35",-1.45395537873288
"36",-1.54977987156103
"37",-1.65367253753451
"38",-1.71470373446006
"39",-1.74749247386093
"40",-1.82981327961867
"41",-1.8820684344373
"42",-1.90928944992444
"43",-1.94764739994418
"44",-1.98589566431382
"45",-2.02033200398525
"46",-2.05621119887421
"47",-2.08531956040768
"48",-2.13896333504774
"49",-2.26738114171462
"50",-2.37731304909007
"51",-2.46037438592867
"52",-2.50067261783124
"53",-2.53458781716933
"54",-2.61123477949144
"55",-2.71266750199954
"56",-2.79481767229829
"57",-2.84524632942865
"58",-2.85648039037642
"59",-2.87586155239128
"60",-2.90015073344067
"61",-2.92339110029292
"62",-2.94714641722282
"63",-2.96219334613259
"64",-2.9646924419251
"65",-2.9618086255345
"66",-2.95335896842828
"67",-2.93178575711449
"68",-2.9121687526692
"69",-2.81487870698657
"70",-2.70709660138914
"71",-2.60417632341349
"72",-2.54008271638728
"73",-2.49914692286935
"74",-2.46357521410676
"75",-2.42244806509981
"76",-2.34775599967161
"77",-2.24948577394028
"78",-2.22138499891469
"79",-2.17865052721604
"80",-2.13913376297584
"81",-2.10902148093415
"82",-2.08418687056661
"83",-2.06428897041028
"84",-2.04752555313418
"85",-2.02297090113122
"86",-1.99442271836721
"87",-2.19208116245963
"88",-1.81504289650494
"89",-2.89922740093266
"90",-1.40126490972899
"91",-2.93593291601363
"92",-2.93998465529966
"93",-2.88421843230648
"94",-1.40617192040013
"95",-1.41019589345296
"96",-1.39015147472654
"97",-2.06887979655034
"98",-1.97250091215809
"99",-2.15258620606395
"100",-1.82925126661512
"101",-2.03462495541414
"102",-2.07375308515385
"103",-1.96118838438289
"104",-1.90763077064974
"105",-1.90488786864286
"106",-1.7752918216451
"107",-2.10336738178582
"108",-2.11972376736556
"109",-2.09829794044771
"110",-2.05362863631509
"111",-1.99793386403267
"112",-2.0216560229661
"113",-1.98496984953211
"114",-1.93399141309157
"115",-1.86692441230661
"116",-1.8762505870382
"117",-1.89182289734534
"118",-1.80008123777079
"119",-1.73687783965675
"120",-1.75048012168194
"121",-1.71940422434087
"122",-2.14140016594158
"123",-2.05902205402939
"124",-1.97659527851263
"125",-1.93627080922725
"126",-1.93764183433102
"127",-1.86033212754729
"128",-1.90183801014545
"129",-1.85354473750719
"130",-1.7679620860986
"131",-1.79806039846497
"132",-1.66187585259654
"133",-2.25455559266471
"134",-1.92880929764118
"135",-1.83829295573521
"136",-1.78366839942771
"137",-1.74748278500496
"138",-1.72815830722595
"139",-1.69351394120505
"140",-1.69499210975613
"141",-1.71494328180584
"142",-1.65954304033646
"143",-1.61878132029969
"144",-1.67771108392385
"145",-2.19238865250114
"146",-2.20544274092656
"147",-1.68453357659345
"148",-1.60548605400375
"149",-1.65545028177351
"150",-1.62979674479708
"151",-1.62566722141916
"152",-1.60259707051021
"153",-1.56484214908993
"154",-1.61537466404931
"155",-1.58701528998149
"156",-2.95643377534613
"157",-2.91336689184241
"158",-1.41265269818744
"159",-1.39987428810406
"160",-2.21694346168854
"161",-2.18436600403101
"162",-2.29071443562334
"163",-2.26802148284428
"164",-2.38217609409594
"165",-2.32028357122132
"166",-2.36003610864683
"167",-2.34763549598
"168",-2.29823158751942
"169",-2.38588391040638
"170",-2.41187661572445
"171",-2.44367094065797
"172",-2.12960277598686
"173",-2.01606720172747
"174",-1.91813580295113
"175",-1.4863282966655
"176",-2.43784926312291
"177",-2.43163077735835
"178",-2.48135443370678
"179",-2.45853414061477
"180",-2.4651771712462
"181",-2.48420125456319
"182",-2.48097395019011
"183",-2.32432557814516
"184",-1.54489308918753
"185",-1.55570960311925
"186",-1.51376415454474
"187",-1.53685361570073
"188",-1.49733272845138
"189",-2.39931089902467
"190",-2.40057235824389
"191",-2.4413558773166
"192",-2.52951091262921
"193",-2.48263962026606
"194",-1.46599859643367
"195",-1.52128429893551
"196",-2.50962924908566
"197",-2.49898287004731
"198",-2.5087759206857
"199",-2.5341144777559
"200",-2.62297152272483
"201",-2.57049770578593
"202",-2.5665639799704
"203",-2.62510488587605
"204",-2.55483126766417
"205",-2.72994517104413
"206",-2.66257442376833
"207",-2.68134135938721
"208",-2.58361630139638
"209",-2.59215227355574
"210",-2.57095903467126
"211",-2.66026527466881
"212",-2.51671323962009
