"","x"
"1",-0.0415447221564133
"2",-0.0382004116297971
"3",-0.0297586074317096
"4",-0.019733373231627
"5",-0.0122962813048294
"6",-0.010097993960391
"7",-0.0148599377072055
"8",-0.0240386930954664
"9",-0.0350994252280016
"10",-0.0440101059139183
"11",-0.0473993625661044
"12",-0.0377365951625982
"13",-0.0440974668971776
"14",-0.0273625708346102
"15",-0.0358903384627142
"16",-0.013675221035637
"17",-0.0253880621309062
"18",-0.00228849708554985
"19",-0.0166958742229896
"20",0.00348184153999873
"21",-0.0119149391455605
"22",0.00231632379772349
"23",-0.0119343648776782
"24",-0.00535325573477487
"25",-0.0158338505239749
"26",-0.0161548115519784
"27",-0.0220329089838717
"28",-0.025665941297842
"29",-0.0279274669620572
"30",-0.0294544786573892
"31",-0.0265748053686296
"32",-0.0196050365395694
"33",-0.0117332013876947
"34",-0.00657938859931208
"35",-0.00528996216705538
"36",-0.00779402990468928
"37",-0.0138137253001917
"38",-0.0213322327194517
"39",-0.0278017673877164
"40",-0.0308057024076348
"41",-0.0396970387497671
"42",-0.0402694801955765
"43",-0.0403851323586813
"44",-0.0302377754688018
"45",-0.0335125321043158
"46",-0.036269181039351
"47",-0.0345565411408963
"48",-0.00720967192717523
"49",-0.0325400769780149
"50",-0.0225648862908319
"51",-0.0255216257167172
"52",-0.00882031718195828
"53",-0.0172147176781952
"54",-0.0171761742533437
"55",-0.0218057800915077
"56",-0.00327139484798805
"57",-0.0169736468875067
"58",-0.0140539156635405
"59",-0.0196579175115867
"60",0.00395583159697234
"61",-0.0256981420749563
"62",-0.0143022673231575
"63",-0.00364041743093099
"64",-0.0310802736291774
"65",0.0235711163852721
"66",-0.00582439183854844
"67",-0.0103073321026239
"68",-0.00922587381646784
"69",-0.00247464855806342
"70",0.00695843665420195
"71",0.00510978017311186
"72",0.0268768772469497
"73",0.0156562812790259
"74",0.00659410821510269
"75",0.00925021457870583
"76",0.0183951174838224
"77",0.0117909788699954
"78",0.0254583182459646
"79",0.0171001667977934
"80",0.0248363824735483
"81",0.0156538431539069
"82",0.0382923982204332
"83",0.0240144996677645
"84",0.0341227032410629
"85",0.0322865622544876
"86",0.000249114033910046
"87",0.00679106635311702
"88",0.0410087562859989
"89",0.0300993733505303
"90",0.0115841793350021
"91",0.0408447791275356
"92",0.0278863302298769
"93",0.0198069013372373
"94",0.0377275312708439
"95",0.0330555039555281
