"","x"
"1",-1.92441531989775
"2",-1.91894373291171
"3",-1.91638784234435
"4",-1.92295669891038
"5",-1.92910597292834
"6",-1.93501294930148
"7",-1.93995322633516
"8",-1.93591568086337
"9",-1.90818950008907
"10",-1.84924470643833
"11",-1.80479113220368
"12",-1.72079740481461
"13",-1.63679812431523
"14",-1.59215561857574
"15",-1.54773710973998
"16",-1.5270759351699
"17",-1.5028058891653
"18",-1.48224308299077
"19",-1.45812178927885
"20",-1.43210788843768
"21",-1.41820413503134
"22",-1.40552830021844
"23",-1.40023528397731
"24",-1.40275406190444
"25",-1.41086070458376
"26",-1.42277525678668
"27",-1.42687160480933
"28",-1.42878827749887
"29",-1.42996697975822
"30",-1.4328488980063
"31",-1.43474898059502
"32",-1.43469613632925
"33",-1.43957080060155
"34",-1.44635551216304
"35",-1.47986275775918
"36",-1.54982902543837
"37",-1.61527959605537
"38",-1.65885025652537
"39",-1.70258067234797
"40",-1.74918541310697
"41",-1.80238309140596
"42",-1.83368107513349
"43",-1.88993220946449
"44",-1.94322844941947
"45",-1.99349817570786
"46",-2.03575908092462
"47",-2.07208727268191
"48",-2.13202150125407
"49",-2.21048825619688
"50",-2.29184678367372
"51",-2.36608697059535
"52",-2.43892448820288
"53",-2.53268405769734
"54",-2.63440102910952
"55",-2.67686431145253
"56",-2.64309378115078
"57",-2.60362492112602
"58",-2.6272974840648
"59",-2.67815121546304
"60",-2.71327832321204
"61",-2.76082571404077
"62",-2.84959936319992
"63",-2.99055211946905
"64",-3.09350191385399
"65",-3.1260830810761
"66",-3.11280379662011
"67",-3.03682472886182
"68",-2.96870451802291
"69",-2.7965385141603
"70",-2.64806611186797
"71",-2.54353393397729
"72",-2.45100729387637
"73",-2.36622139432772
"74",-2.30971830808702
"75",-2.2768090585232
"76",-2.23627378696519
"77",-2.18406312185815
"78",-2.13726523126562
"79",-2.08826511870711
"80",-2.05558787939768
"81",-2.02603162684049
"82",-2.00444299529279
"83",-1.99077199685339
"84",-1.97972845580872
"85",-1.96599522907345
"86",-1.94706442177795
"87",-2.12500903784895
"88",-1.81969570850763
"89",-2.85404336031389
"90",-1.42617934852563
"91",-3.0131630717636
"92",-2.8982229744227
"93",-2.71046263539801
"94",-1.43325077727211
"95",-1.41845960303089
"96",-1.4177383024766
"97",-2.00853724249043
"98",-1.94855146288334
"99",-2.07810047350301
"100",-1.86927080688414
"101",-1.98189964872886
"102",-1.99950909506321
"103",-1.93085432971289
"104",-1.92567509110863
"105",-1.93203238972787
"106",-1.78942752680971
"107",-2.03206016302008
