"","method","cv_err","lambda","duration"
"1","L-BFGS10",-0.849341320688129,0.1,0.896000000000015
"2","Gradient",-0.872106633570968,0.1,13.475
"3","ConjugateGradientFR",-0.863992020624921,0.1,4.37799999999999
"4","ConjugateGradientPRP",-0.913097429731597,0.001,0.501000000000033
