"","method","cv_err","lambda","duration"
"1","L-BFGS10",-13.6771667881512,0.001,3.265
"2","Gradient",-13.6755870149964,0.001,45.872
"3","ConjugateGradientFR",-13.6776355407898,0.001,19.047
"4","ConjugateGradientPRP",-13.6783438154999,0.000316227766016838,1.379
