"","V1","V2","V3"
"355",365,111,366
"356",355,366,99
"357",96,367,276
"358",367,368,276
"359",367,131,368
"360",276,368,95
"361",95,368,370
"362",368,369,370
"363",368,131,369
"364",370,369,20
"365",132,371,373
"366",371,372,373
"367",371,134,372
"368",373,372,133
"369",119,341,375
"370",341,374,375
"371",341,120,374
"372",375,374,135
"373",54,376,378
"374",376,377,378
"375",376,129,377
"376",378,377,123
"377",127,379,358
"378",379,377,358
"379",379,123,377
"380",358,377,129
"381",124,380,381
"382",380,367,381
"383",380,131,367
"384",381,367,96
"385",83,248,382
"386",248,335,382
"387",248,84,335
"388",382,335,116
"389",84,383,336
"390",383,5,336
"391",383,4,5
"392",336,5,6
"393",8,384,7
"394",384,337,7
"395",384,116,337
"396",7,337,6
"397",136,385,387
"398",385,386,387
"399",385,116,386
"400",387,386,137
"401",112,357,388
"402",357,201,388
"403",357,50,201
"404",388,201,36
"405",121,389,354
"406",389,390,354
"407",389,138,390
"408",354,390,125
"409",73,231,392
"410",231,391,392
"411",231,71,391
"412",392,391,102
"413",18,292,19
"414",292,370,19
"415",292,95,370
"416",19,370,20
"417",139,393,394
"418",393,382,394
"419",393,83,382
"420",394,382,116
"421",54,378,395
"422",378,349,395
"423",378,123,349
"424",395,349,124
"425",90,396,398
"426",396,397,398
"427",396,114,397
"428",398,397,139
"429",14,399,401
"430",399,400,401
"431",399,126,400
"432",401,400,140
"433",126,399,353
"434",399,344,353
"435",399,14,344
"436",353,344,121
"437",132,402,404
"438",402,403,404
"439",402,142,403
"440",404,403,141
"441",132,373,402
"442",373,405,402
"443",373,133,405
"444",402,405,142
"445",133,406,405
"446",406,407,405
"447",406,127,407
"448",405,407,142
"449",45,408,266
"450",408,396,266
"451",408,114,396
"452",266,396,90
"453",116,384,386
"454",384,409,386
"455",384,8,409
"456",386,409,137
"457",25,410,167
"458",410,213,167
"459",410,58,213
"460",167,213,27
"461",124,348,412
"462",348,411,412
"463",348,122,411
"464",412,411,143
"465",124,412,380
"466",412,413,380
"467",412,143,413
"468",380,413,131
"469",87,249,414
"470",249,361,414
"471",249,86,361
"472",414,361,77
"473",122,415,411
"474",415,416,411
"475",415,144,416
"476",411,416,143
"477",143,416,418
"478",416,417,418
"479",416,144,417
"480",418,417,33
"481",145,419,420
"482",419,390,420
"483",419,125,390
"484",420,390,138
"485",114,421,397
"486",421,393,397
"487",421,83,393
"488",397,393,139
"489",137,409,422
"490",409,9,422
"491",409,8,9
"492",422,9,10
"493",131,423,369
"494",423,21,369
"495",423,1,21
"496",369,21,20
"497",139,394,424
"498",394,385,424
"499",394,116,385
"500",424,385,136
"501",146,425,426
"502",425,331,426
"503",425,85,331
"504",426,331,104
"505",147,427,429
"506",427,428,429
"507",427,149,428
"508",429,428,148
"509",74,234,431
"510",234,430,431
"511",234,38,430
"512",431,430,115
"513",118,432,434
"514",432,433,434
"515",432,148,433
"516",434,433,150
"517",151,435,436
"518",435,187,436
"519",435,39,187
"520",436,187,40
"521",118,434,340
"522",434,437,340
"523",434,150,437
"524",340,437,120
"525",82,438,439
"526",438,356,439
"527",438,50,356
"528",439,356,113
"529",65,364,440
"530",364,438,440
"531",364,50,438
"532",440,438,82
"533",94,441,275
"534",441,442,275
"535",441,55,442
"536",275,442,96
"537",124,381,443
"538",381,442,443
"539",381,96,442
"540",443,442,55
"541",139,424,445
"542",424,444,445
"543",424,136,444
"544",445,444,152
"545",115,430,351
"546",430,446,351
"547",430,38,446
"548",351,446,80
"549",140,447,449
"550",447,448,449
"551",447,154,448
"552",449,448,153
"553",42,284,450
"554",284,288,450
"555",284,100,288
"556",450,288,89
"557",142,407,452
"558",407,451,452
"559",407,127,451
"560",452,451,150
"561",98,278,454
"562",278,453,454
"563",278,97,453
"564",454,453,155
"565",150,451,455
"566",451,360,455
"567",451,127,360
"568",455,360,128
"569",69,229,251
"570",229,456,251
"571",229,70,456
"572",251,456,86
"573",138,457,458
"574",457,435,458
"575",457,39,435
"576",458,435,151
"577",83,421,246
"578",421,329,246
"579",421,114,329
"580",246,329,85
"581",155,453,459
"582",453,286,459
"583",453,97,286
"584",459,286,100
"585",71,460,461
"586",460,214,461
"587",460,56,214
"588",461,214,58
"589",125,419,463
"590",419,462,463
"591",419,145,462
"592",463,462,156
"593",157,464,465
"594",464,233,465
"595",464,71,233
"596",465,233,72
"597",62,466,467
"598",466,462,467
"599",466,156,462
"600",467,462,145
"601",25,296,410
"602",296,468,410
"603",296,102,468
"604",410,468,58
"605",141,469,471
"606",469,470,471
"607",469,149,470
"608",471,470,88
"609",158,472,474
"610",472,473,474
"611",472,159,473
"612",474,473,120
"613",141,471,476
"614",471,475,476
"615",471,88,475
"616",476,475,77
"617",102,391,468
"618",391,461,468
"619",391,71,461
"620",468,461,58
"621",47,195,477
"622",195,265,477
"623",195,45,265
"624",477,265,91
"625",152,478,445
"626",478,398,445
"627",478,90,398
"628",445,398,139
"629",47,477,262
"630",477,479,262
"631",477,91,479
"632",262,479,68
"633",52,480,482
"634",480,481,482
"635",480,158,481
"636",482,481,129
"637",158,474,484
"638",474,483,484
"639",474,120,483
"640",484,483,128
"641",84,485,383
"642",485,486,383
"643",485,105,486
"644",383,486,4
"645",82,487,440
"646",487,223,440
"647",487,66,223
"648",440,223,65
"649",104,488,302
"650",488,197,302
"651",488,45,197
"652",302,197,46
"653",129,481,359
"654",481,484,359
"655",481,158,484
"656",359,484,128
"657",57,319,222
"658",319,327,222
"659",319,109,327
"660",222,327,64
"661",45,488,408
"662",488,330,408
"663",488,104,330
"664",408,330,114
"665",84,247,485
"666",247,489,485
"667",247,85,489
"668",485,489,105
"669",29,490,218
"670",490,491,218
"671",490,103,491
"672",218,491,63
"673",107,492,494
"674",492,493,494
"675",492,32,493
"676",494,493,160
"677",156,466,495
"678",466,227,495
"679",466,62,227
"680",495,227,67
"681",93,496,294
"682",496,388,294
"683",496,112,388
"684",294,388,36
"685",82,243,487
"686",243,497,487
"687",243,80,497
"688",487,497,66
"689",112,496,338
"690",496,498,338
"691",496,93,498
"692",338,498,117
"693",34,499,500
"694",499,465,500
"695",499,157,465
"696",500,465,72
"697",125,501,352
"698",501,502,352
"699",501,154,502
"700",352,502,126
"701",154,503,505
"702",503,504,505
"703",503,156,504
"704",505,504,152
"705",66,497,258
"706",497,446,258
"707",497,80,446
"708",258,446,38
"709",92,506,507
"710",506,500,507
"711",506,34,500
"712",507,500,72
"713",123,508,510
"714",508,509,510
"715",508,133,509
"716",510,509,144
"717",137,422,512
"718",422,511,512
"719",422,10,511
"720",512,511,140
"721",140,511,513
"722",511,11,513
"723",511,10,11
"724",513,11,12
"725",34,506,180
"726",506,293,180
"727",506,92,293
"728",180,293,36
"729",160,493,514
"730",493,263,514
"731",493,32,263
"732",514,263,30
"733",14,401,13
"734",401,513,13
"735",401,140,513
"736",13,513,12
"737",16,332,17
"738",332,289,17
"739",332,101,289
"740",17,289,18
"741",125,463,501
"742",463,503,501
"743",463,156,503
"744",501,503,154
"745",51,322,516
"746",322,515,516
"747",322,110,515
"748",516,515,48
"749",70,323,517
"750",323,491,517
"751",323,63,491
"752",517,491,103
"753",106,518,519
"754",518,271,519
"755",518,52,271
"756",519,271,92
"757",30,520,514
"758",520,521,514
"759",520,146,521
"760",514,521,160
"761",77,242,476
"762",242,522,476
"763",242,78,522
"764",476,522,141
"765",78,523,522
"766",523,404,522
"767",523,132,404
"768",522,404,141
"769",142,452,524
"770",452,433,524
"771",452,150,433
"772",524,433,148
"773",120,437,483
"774",437,455,483
"775",437,150,455
"776",483,455,128
"777",86,456,298
"778",456,517,298
"779",456,70,517
"780",298,517,103
"781",56,460,525
"782",460,464,525
"783",460,71,464
"784",525,464,157
"785",160,521,527
"786",521,526,527
"787",521,146,526
"788",527,526,98
"789",122,350,415
"790",350,510,415
"791",350,123,510
"792",415,510,144
"793",52,482,205
"794",482,376,205
"795",482,129,376
"796",205,376,54
"797",88,528,252
"798",528,450,252
"799",528,42,450
"800",252,450,89
"801",42,528,529
"802",528,470,529
"803",528,88,470
"804",529,470,149
"805",106,519,311
"806",519,507,311
"807",519,92,507
"808",311,507,72
"809",108,530,531
"810",530,5,531
"811",530,6,5
"812",531,5,4
"813",148,432,429
"814",432,532,429
"815",432,118,532
"816",429,532,147
"817",75,239,533
"818",239,185,533
"819",239,37,185
"820",533,185,10
"821",140,449,512
"822",449,534,512
"823",449,153,534
"824",512,534,137
"825",60,535,225
"826",535,362,225
"827",535,130,362
"828",225,362,65
"829",4,536,531
"830",536,318,531
"831",536,109,318
"832",531,318,108
"833",42,529,537
"834",529,427,537
"835",529,149,427
"836",537,427,147
"837",110,538,515
"838",538,198,515
"839",538,49,198
"840",515,198,48
"841",111,539,366
"842",539,282,366
"843",539,94,282
"844",366,282,99
"845",94,539,540
"846",539,339,540
"847",539,111,339
"848",540,339,117
"849",55,441,541
"850",441,540,541
"851",441,94,540
"852",541,540,117
"853",41,542,543
"854",542,299,543
"855",542,79,299
"856",543,299,103
"857",107,312,492
"858",312,544,492
"859",312,51,544
"860",492,544,32
"861",25,177,200
"862",177,545,200
"863",177,32,545
"864",200,545,48
"865",23,190,166
"866",190,172,166
"867",190,28,172
"868",166,172,22
"869",73,546,310
"870",546,547,310
"871",546,158,547
"872",310,547,106
"873",22,548,164
"874",548,268,164
"875",548,40,268
"876",164,268,24
"877",59,217,549
"878",217,267,549
"879",217,60,267
"880",549,267,76
"881",48,545,516
"882",545,544,516
"883",545,32,544
"884",516,544,51
"885",161,550,551
"886",550,495,551
"887",550,156,495
"888",551,495,67
"889",61,552,554
"890",552,553,554
"891",552,57,553
"892",554,553,162
"893",53,555,273
"894",555,498,273
"895",555,117,498
"896",273,498,93
"897",88,254,475
"898",254,414,475
"899",254,87,414
"900",475,414,77
"901",133,508,406
"902",508,379,406
"903",508,123,379
"904",406,379,127
"905",61,215,552
"906",215,556,552
"907",215,59,556
"908",552,556,57
"909",117,555,541
"910",555,209,541
"911",555,53,209
"912",541,209,55
"913",1,557,304
"914",557,178,304
"915",557,33,178
"916",304,178,24
"917",109,536,328
"918",536,3,328
"919",536,4,3
"920",328,3,2
"921",81,558,365
"922",558,324,365
"923",558,113,324
"924",365,324,111
"925",113,558,439
"926",558,244,439
"927",558,81,244
"928",439,244,82
"929",44,192,559
"930",192,537,559
"931",192,42,537
"932",559,537,147
"933",153,560,561
"934",560,444,561
"935",560,152,444
"936",561,444,136
"937",110,321,562
"938",321,559,562
"939",321,44,559
"940",562,559,147
"941",78,563,565
"942",563,564,565
"943",563,41,564
"944",565,564,134
"945",41,563,542
"946",563,241,542
"947",563,78,241
"948",542,241,79
"949",161,566,567
"950",566,478,567
"951",566,90,478
"952",567,478,152
"953",162,553,568
"954",553,210,568
"955",553,57,210
"956",568,210,56
"957",160,569,494
"958",569,570,494
"959",569,155,570
"960",494,570,107
"961",134,571,572
"962",571,179,572
"963",571,23,179
"964",572,179,33
"965",121,573,389
"966",573,574,389
"967",573,163,574
"968",389,574,138
"969",91,315,479
"970",315,256,479
"971",315,67,256
"972",479,256,68
"973",110,562,575
"974",562,532,575
"975",562,147,532
"976",575,532,118
"977",132,523,371
"978",523,565,371
"979",523,78,565
"980",371,565,134
"981",55,208,443
"982",208,395,443
"983",208,54,395
"984",443,395,124
"985",137,534,387
"986",534,561,387
"987",534,153,561
"988",387,561,136
"989",90,566,314
"990",566,551,314
"991",566,161,551
"992",314,551,67
"993",28,576,170
"994",576,490,170
"995",576,103,490
"996",170,490,29
"997",22,577,548
"998",577,436,548
"999",577,151,436
"1000",548,436,40
"1001",103,576,543
"1002",576,189,543
"1003",576,28,189
"1004",543,189,41
"1005",97,578,287
"1006",578,260,287
"1007",578,69,260
"1008",287,260,89
"1009",69,578,261
"1010",578,285,261
"1011",578,97,285
"1012",261,285,47
"1013",130,579,581
"1014",579,580,581
"1015",579,162,580
"1016",581,580,157
"1017",8,300,9
"1018",300,533,9
"1019",300,75,533
"1020",9,533,10
"1021",156,550,504
"1022",550,567,504
"1023",550,161,567
"1024",504,567,152
"1025",162,579,554
"1026",579,582,554
"1027",579,130,582
"1028",554,582,61
"1029",74,431,583
"1030",431,343,583
"1031",431,115,343
"1032",583,343,14
"1033",162,568,580
"1034",568,525,580
"1035",568,56,525
"1036",580,525,157
"1037",74,583,235
"1038",583,13,235
"1039",583,14,13
"1040",235,13,12
"1041",135,584,585
"1042",584,295,585
"1043",584,102,295
"1044",585,295,49
"1045",140,400,447
"1046",400,502,447
"1047",400,126,502
"1048",447,502,154
"1049",10,184,11
"1050",184,236,11
"1051",184,38,236
"1052",11,236,12
"1053",134,586,372
"1054",586,509,372
"1055",586,144,509
"1056",372,509,133
"1057",144,586,417
"1058",586,572,417
"1059",586,134,572
"1060",417,572,33
"1061",135,587,584
"1062",587,392,584
"1063",587,73,392
"1064",584,392,102
"1065",76,588,549
"1066",588,589,549
"1067",588,108,589
"1068",549,589,59
"1069",151,577,590
"1070",577,171,590
"1071",577,22,171
"1072",590,171,29
"1073",159,591,592
"1074",591,587,592
"1075",591,73,587
"1076",592,587,135
"1077",18,593,17
"1078",593,594,17
"1079",593,163,594
"1080",17,594,16
"1081",155,569,454
"1082",569,527,454
"1083",569,160,527
"1084",454,527,98
"1085",106,547,518
"1086",547,480,518
"1087",547,158,480
"1088",518,480,52
"1089",152,560,505
"1090",560,448,505
"1091",560,153,448
"1092",505,448,154
"1093",29,220,590
"1094",220,595,590
"1095",220,62,595
"1096",590,595,151
"1097",143,596,413
"1098",596,423,413
"1099",596,1,423
"1100",413,423,131
"1101",142,524,403
"1102",524,597,403
"1103",524,148,597
"1104",403,597,141
"1105",149,469,428
"1106",469,597,428
"1107",469,141,597
"1108",428,597,148
"1109",1,596,557
"1110",596,418,557
"1111",596,143,418
"1112",557,418,33
"1113",157,598,581
"1114",598,599,581
"1115",598,35,599
"1116",581,599,130
"1117",35,598,182
"1118",598,499,182
"1119",598,157,499
"1120",182,499,34
"1121",35,202,599
"1122",202,363,599
"1123",202,50,363
"1124",599,363,130
"1125",138,574,457
"1126",574,600,457
"1127",574,163,600
"1128",457,600,39
"1129",163,573,594
"1130",573,345,594
"1131",573,121,345
"1132",594,345,16
"1133",163,593,600
"1134",593,188,600
"1135",593,18,188
"1136",600,188,39
"1137",119,601,602
"1138",601,538,602
"1139",601,49,538
"1140",602,538,110
"1141",62,467,595
"1142",467,603,595
"1143",467,145,603
"1144",595,603,151
"1145",145,420,603
"1146",420,458,603
"1147",420,138,458
"1148",603,458,151
"1149",49,601,585
"1150",601,375,585
"1151",601,119,375
"1152",585,375,135
"1153",105,489,604
"1154",489,425,604
"1155",489,85,425
"1156",604,425,146
"1157",118,342,575
"1158",342,602,575
"1159",342,119,602
"1160",575,602,110
"1161",23,571,191
"1162",571,564,191
"1163",571,134,564
"1164",191,564,41
"1165",108,588,530
"1166",588,307,530
"1167",588,76,307
"1168",530,307,6
"1169",120,473,374
"1170",473,592,374
"1171",473,159,592
"1172",374,592,135
"1173",73,591,546
"1174",591,472,546
"1175",591,159,472
"1176",546,472,158
"1177",30,305,520
"1178",305,604,520
"1179",305,105,604
"1180",520,604,146
"1181",31,316,306
"1182",316,605,306
"1183",316,2,605
"1184",306,605,105
"1185",98,526,303
"1186",526,426,303
"1187",526,146,426
"1188",303,426,104
"1189",105,605,486
"1190",605,3,486
"1191",605,2,3
"1192",486,3,4
"1193",107,570,313
"1194",570,606,313
"1195",570,155,606
"1196",313,606,43
"1197",43,606,283
"1198",606,459,283
"1199",606,155,459
"1200",283,459,100
"1201",57,556,320
"1202",556,589,320
"1203",556,59,589
"1204",320,589,108
"1205",130,535,582
"1206",535,216,582
"1207",535,60,216
"1208",582,216,61
