"","X","Y"
"1",9.6684886,45.6737373
"2",9.6686955,45.6732651
"3",9.6693436,45.6752076
"4",9.6698661,45.6755969
"5",9.6714107,45.6755839
"6",9.6728624,45.6755364
"7",9.6811402,45.675166
"8",9.6831481,45.6757357
"9",9.6853616,45.6727403
"10",9.6853838,45.6705108
"11",9.6843764,45.6770016
"12",9.6839777,45.6766169
"13",9.6494541,45.6755945
"14",9.6509192,45.6756361
"15",9.6465362,45.675028
"16",9.6468686,45.6750528
"17",9.6472831,45.6751605
"18",9.6474363,45.6752529
"19",9.672031,45.6696939
"20",9.6690165,45.6729801
"21",9.6749748,45.6701892
"22",9.67374,45.6733843
"23",9.6736635,45.6735553
"24",9.6732116,45.6751678
"25",9.6386559,45.678932
"26",9.638848,45.6792437
"27",9.6392416,45.6792386
"28",9.6395062,45.6804634
"29",9.6398576,45.6811996
"30",9.6551025,45.6985286
"31",9.6555915,45.6989804
"32",9.6599794,45.6957279
"33",9.6603796,45.6957161
"34",9.6606627,45.6957045
"35",9.6670296,45.6955301
"36",9.6677075,45.6959567
"37",9.6688588,45.6966401
"38",9.6699241,45.6972702
"39",9.6705713,45.6976407
"40",9.672287,45.698664
"41",9.6734211,45.6993312
"42",9.6747157,45.7001298
"43",9.6758114,45.700447
"44",9.6761676,45.700645
"45",9.6737547,45.6804107
"46",9.6744045,45.6804529
"47",9.6544694,45.6892442
"48",9.651677,45.6892588
"49",9.6458532,45.6892042
"50",9.645848,45.6891131
"51",9.6477644,45.6908703
"52",9.6481413,45.691583
"53",9.658128,45.6999026
"54",9.657901,45.7000325
"55",9.6578877,45.699874
"56",9.6597713,45.6993719
"57",9.6608418,45.6991093
"58",9.6639628,45.6994722
"59",9.6682922,45.6963058
"60",9.6684361,45.696189
"61",9.6550286,45.7003163
"62",9.6557538,45.6999565
"63",9.6567464,45.7008895
"64",9.6953719,45.7044979
"65",9.6980288,45.7061519
"66",9.6935366,45.7066547
"67",9.6946551,45.7034039
"68",9.6879367,45.6884826
"69",9.683682,45.6853606
"70",9.6949687,45.7039917
"71",9.6951077,45.7040482
"72",9.6512831,45.7004973
"73",9.6503639,45.7001041
"74",9.6481819,45.6992
"75",9.6362886,45.6961984
"76",9.6349832,45.6960163
"77",9.6333621,45.6959957
"78",9.6575147,45.6928564
"79",9.6587438,45.6927336
"80",9.6401176,45.6925148
"81",9.6397664,45.6924707
"82",9.6560922,45.6980154
"83",9.6559815,45.6979018
"84",9.655322,45.6967186
"85",9.6550499,45.69599
"86",9.6787955,45.6927889
"87",9.6783898,45.6935798
"88",9.6780778,45.6941644
"89",9.6742567,45.6911206
"90",9.6744832,45.6911831
"91",9.6558214,45.6981564
"92",9.6565009,45.6987163
"93",9.6576337,45.6996504
"94",9.6550062,45.6958478
"95",9.6545886,45.6946402
"96",9.6541126,45.6933847
"97",9.6549306,45.6959282
"98",9.6725298,45.7037706
"99",9.6720189,45.7028783
"100",9.6713792,45.7022579
"101",9.6676667,45.7020162
"102",9.6661078,45.7012234
"103",9.6577178,45.7050696
"104",9.6585519,45.7038837
"105",9.6606124,45.7026906
"106",9.6611018,45.702359
"107",9.6629632,45.7014317
"108",9.681451,45.7022063
"109",9.6796741,45.7009681
"110",9.6594004,45.694335
"111",9.6599238,45.6955831
"112",9.659377,45.6957572
"113",9.6568243,45.6958377
"114",9.6532452,45.6959688
"115",9.6530674,45.6959767
"116",9.6523225,45.6960468
"117",9.6639018,45.6882341
"118",9.6638733,45.6883943
"119",9.6662137,45.6981052
"120",9.6667746,45.69844
"121",9.6678126,45.6990994
"122",9.6782487,45.7049031
"123",9.67979,45.7066769
"124",9.6798537,45.706749
"125",9.6799959,45.7069076
"126",9.6853954,45.7129274
"127",9.6850267,45.713049
"128",9.6691071,45.700751
"129",9.6698302,45.7002939
"130",9.6683705,45.6994191
"131",9.6691485,45.6998908
"132",9.6716655,45.6997417
"133",9.6720509,45.6989572
"134",9.6712209,45.6993997
"135",9.670835,45.6988026
"136",9.6697086,45.6983274
"137",9.6729196,45.6980713
"138",9.6779633,45.7014385
"139",9.6778963,45.7017651
"140",9.6824655,45.7097754
"141",9.68333,45.7106277
"142",9.6841438,45.7117099
"143",9.6843376,45.7119376
"144",9.6893538,45.7104818
"145",9.6889948,45.7104493
"146",9.6921522,45.7109096
"147",9.6936279,45.7100141
"148",9.6955158,45.7084586
"149",9.697011,45.7091207
"150",9.6975043,45.7093612
"151",9.6885348,45.7064116
"152",9.689222,45.7061154
"153",9.6900909,45.7057937
"154",9.6762177,45.6970344
"155",9.6755166,45.6965902
"156",9.6750187,45.6963421
"157",9.6746364,45.6961664
"158",9.6611184,45.6894077
"159",9.6604919,45.6902783
"160",9.6604256,45.690369
"161",9.6597698,45.6912372
"162",9.6593049,45.6918829
"163",9.6590004,45.6923021
"164",9.658954,45.692375
"165",9.6600853,45.695975
"166",9.6605568,45.6970053
"167",9.6608912,45.6978175
"168",9.6605588,45.6990882
"169",9.6671138,45.6879062
"170",9.66716,45.687924
"171",9.6672184,45.6879409
"172",9.6703483,45.6888443
"173",9.6725777,45.6899435
"174",9.6652844,45.6923752
"175",9.6653198,45.6922988
"176",9.6665298,45.6913685
"177",9.6691595,45.6894856
"178",9.6669814,45.6928294
"179",9.6671462,45.6928489
"180",9.6525692,45.6998429
"181",9.6543706,45.7014756
"182",9.6554431,45.7015269
"183",9.6561708,45.7014944
"184",9.6568652,45.7009653
"185",9.6575263,45.7003663
"186",9.6597084,45.6992008
"187",9.6592513,45.6981755
"188",9.6588915,45.6973622
"189",9.6586042,45.6967212
"190",9.657155,45.6983529
"191",9.658377,45.6986374
"192",9.6584192,45.6983649
"193",9.657919,45.697914
"194",9.6600483,45.6980062
"195",9.6593068,45.6963796
"196",9.6597171,45.6971866
"197",9.6605132,45.6990821
"198",9.6561344,45.6965912
"199",9.6571309,45.6968554
"200",9.6582177,45.6994004
"201",9.6592174,45.699091
"202",9.657001,45.6964739
"203",9.6580608,45.6965512
"204",9.6300931,45.6905868
"205",9.629117,45.6907899
"206",9.6303719,45.6910169
"207",9.630178,45.6906236
"208",9.6308572,45.696296
"209",9.6306611,45.6937549
"210",9.6316612,45.6961775
"211",9.6405377,45.6988231
"212",9.6429276,45.7015942
"213",9.6380791,45.6934579
"214",9.6369056,45.6942435
"215",9.63677,45.6946419
"216",9.6367115,45.692107
"217",9.6368132,45.6919684
"218",9.6331778,45.6958264
"219",9.6353761,45.6933228
"220",9.6348444,45.6933741
"221",9.6353743,45.6932473
"222",9.6347684,45.6933835
"223",9.6344836,45.6928618
"224",9.6339691,45.6920656
"225",9.6354833,45.6932211
"226",9.6357776,45.6930604
"227",9.6355713,45.6932827
"228",9.6355205,45.6933578
"229",9.6353989,45.6934623
"230",9.6327798,45.6960193
"231",9.6326061,45.693665
"232",9.6317941,45.6937025
"233",9.6316521,45.6937106
"234",9.6642673,45.697068
"235",9.6638016,45.6976949
"236",9.6624054,45.7002804
"237",9.6645979,45.6955502
"238",9.6647701,45.6964791
"239",9.6601761,45.6999948
"240",9.660504,45.6991888
"241",9.6651822,45.6974805
"242",9.6668524,45.69558
"243",9.6664838,45.6969087
"244",9.6676179,45.6968705
"245",9.6662351,45.6969289
"246",9.6707543,45.7008595
"247",9.6714402,45.7011349
"248",9.6728263,45.6788578
"249",9.6725232,45.6786737
"250",9.6601712,45.6998038
"251",9.6604755,45.6991796
"252",9.6605955,45.6991185
"253",9.6698846,45.6788588
"254",9.6701829,45.6803014
"255",9.6718555,45.6782911
"256",9.6696838,45.688264
"257",9.6700529,45.6877269
"258",9.667752,45.6876753
"259",9.669043,45.6980363
"260",9.6672408,45.6995981
"261",9.6659508,45.7007289
"262",9.6657694,45.7009077
"263",9.6656737,45.7009449
"264",9.6654971,45.7009589
"265",9.6705914,45.6966781
"266",9.6670469,45.6954103
"267",9.6686084,45.6948012
"268",9.6716534,45.6958007
"269",9.6698983,45.6948895
"270",9.6709668,45.6963389
"271",9.6712221,45.696128
"272",9.6690806,45.6980041
"273",9.672209,45.6976334
"274",9.6700366,45.6963918
"275",9.6736469,45.6974943
"276",9.6679659,45.6974109
"277",9.6673691,45.6970933
"278",9.6723924,45.6961721
"279",9.6729611,45.6964721
"280",9.6742037,45.6971682
"281",9.6729131,45.6998665
"282",9.6681931,45.6939278
"283",9.667523,45.6941739
"284",9.6663419,45.694619
"285",9.6732264,45.695455
"286",9.6728561,45.6957092
"287",9.6637402,45.6923823
"288",9.6625738,45.6923951
"289",9.6631022,45.6927799
"290",9.6617188,45.6927505
"291",9.6728195,45.7011962
"292",9.6727134,45.7015385
"293",9.6671795,45.6923042
"294",9.6670027,45.6919233
"295",9.6628699,45.6868521
"296",9.6630398,45.687873
"297",9.6630318,45.6882553
"298",9.6656279,45.6985936
"299",9.6666531,45.6992706
"300",9.6668343,45.695342
"301",9.6705732,45.6961093
"302",9.6667126,45.6954811
"303",9.6472048,45.6963453
"304",9.6936427,45.6957234
"305",9.690303,45.691181
"306",9.6685125,45.6710399
"307",9.6727912,45.6900583
"308",9.6720547,45.6904283
"309",9.6710587,45.6909673
"310",9.6721274,45.6918349
"311",9.6728978,45.6911412
"312",9.6375938,45.6775445
"313",9.6393997,45.6772124
"314",9.6401708,45.6771341
"315",9.6417234,45.6767393
"316",9.6450943,45.6752388
"317",9.6633486,45.6901251
"318",9.6635616,45.6900962
"319",9.6655852,45.6899561
"320",9.6681221,45.6886435
"321",9.6599977,45.7062335
"322",9.65925,45.7062565
"323",9.6490059,45.7037575
"324",9.6567187,45.706048
"325",9.6537922,45.7068904
"326",9.658219,45.706617
"327",9.6580069,45.7065403
"328",9.651987,45.7022573
"329",9.6522975,45.7034462
"330",9.6534229,45.7030859
"331",9.6533651,45.7029663
