"","V1"
"1",0.283302682286759
"2",0.255116647042242
"3",0.737133031404102
"4",0.723328027603045
"5",0.709991528727002
"6",0.656185691703274
"7",0.490682681110435
"8",0.477848959114174
"9",0.459419713994965
"10",0.460243164456942
"11",0.405989250592639
"12",0.417852124232075
"13",1.27867442473247
"14",1.10802327801175
"15",1.56333536609602
"16",1.57027710671238
"17",1.5361347526732
"18",1.42874249990724
"19",0.883959293456517
"20",0.880831464913505
"21",0.250697495515271
"22",0.250074873247808
"23",0.259938610980632
"24",0.274630675375133
"25",0.290465536474135
"26",0.290106217921384
"27",0.352576917782106
"28",0.372233657308187
"29",0.374197399306852
"30",0.564208064887499
"31",0.557917355136598
"32",0.542409052877244
"33",0.53490648239369
"34",0.552922244784973
"35",0.573466086204178
"36",0.634768556254224
"37",0.696291633030484
"38",0.86025845640586
"39",0.854089588949833
"40",0.331471064052329
"41",0.330441761635108
"42",0.498992868399181
"43",0.527768375346562
"44",0.563171095999765
"45",0.590320118469877
"46",0.399249927608281
"47",0.406939981950759
"48",0.236735975595742
"49",0.235170842857899
"50",0.242827970400127
"51",0.241220360261535
"52",0.288720524555399
"53",0.310050445302924
"54",0.55149909968184
"55",0.587002342588675
"56",0.257735647567322
"57",0.256717650334588
"58",0.256385621348118
"59",0.350642747667808
"60",0.343596997779406
"61",0.39390355925065
"62",0.405954944822659
"63",0.539119083818242
"64",0.573078300965577
"65",0.391271898755405
"66",0.373374899720974
"67",0.306773690749651
"68",0.339331255260342
"69",0.370772067580081
"70",0.391815372926603
"71",0.398293124351252
"72",0.293764848975538
"73",0.317029796059175
"74",0.331313590527139
"75",0.346339726249315
"76",0.631154115997817
"77",0.638360259886072
"78",0.681972475435239
"79",1.01107409438887
"80",0.959755815976336
"81",0.287036222423022
"82",0.266001592551883
"83",0.253120091822647
"84",0.360914981351714
"85",0.37486202996131
"86",0.382390380559692
"87",0.357902302225728
"88",0.426180702195277
"89",0.443979132908827
"90",0.46444042792546
"91",0.435593288419767
"92",0.415044749958693
"93",0.205953569389587
"94",0.191661199369547
"95",0.191316697454544
"96",0.192736479671715
"97",0.201051170526493
"98",0.696059170266177
"99",0.766261412872782
"100",0.383387662622663
"101",0.367340172284586
"102",0.343793535749336
"103",0.345534861571229
"104",0.367579281212177
"105",0.370492219911283
"106",0.369301526248375
"107",1.0879816298103
"108",1.04141603173007
"109",0.453905192111184
"110",0.460187935843211
"111",0.456814863146126
"112",0.503685346635289
"113",0.443090098753555
"114",0.395009878151813
"115",0.37466333101385
"116",0.167682102630675
"117",0.166630424410684
"118",0.460012142836035
"119",0.462410697640566
"120",0.462881227473114
"121",0.463964385900808
"122",0.530470002698988
"123",0.550592320312688
"124",0.486491776439874
"125",0.472407333039017
"126",0.472311650873677
"127",0.560276814635625
"128",0.789354918917948
"129",0.772260941363194
"130",0.279831139517737
"131",0.284318051148275
"132",0.286685830767151
"133",0.276033437960524
"134",0.222334412509251
"135",0.211795452121576
"136",0.237537572956887
"137",0.262416093536384
"138",0.287363618251379
"139",0.276801793888952
"140",0.262706265978183
"141",0.415538430845207
"142",0.42738523744953
"143",0.434957987794433
"144",1.15741040988076
"145",1.02521120910435
"146",0.923880400841192
"147",0.869681783048648
"148",0.688513058927555
"149",0.612620482986542
"150",0.576218067248622
"151",0.51486405385715
"152",0.479674993061758
"153",0.469178283823597
"154",0.438944796232582
"155",0.329473179726679
"156",0.297008777080962
"157",0.283195110191716
"158",0.281822175614734
"159",1.3566067529243
"160",1.4080133232602
"161",1.36211410825159
"162",1.22311287596307
"163",1.15099392331661
"164",0.863268532746646
"165",0.964004462733238
"166",1.06182506662361
"167",1.14460927533674
"168",0.904873087743827
"169",0.94795838459944
"170",0.27684803272168
"171",0.26231690591568
"172",0.255207637046146
"173",0.249906320943437
"174",0.23833380710344
"175",0.22975122165746
"176",0.251053144307712
"177",0.264057043982067
"178",0.273336888066528
"179",0.282410756539053
"180",0.261520733728836
"181",0.261518054461667
"182",0.263055811030484
"183",0.26812176347286
"184",0.274813882971871
"185",0.297580420964775
"186",0.284366841910198
"187",0.273359644718338
"188",0.332413968842856
"189",0.32826930529814
"190",0.254524847492311
"191",0.25310970816192
"192",0.334714868968737
"193",0.3349958800819
"194",0.443018721252768
"195",0.413706487794047
"196",0.38550303030009
"197",0.479693730459252
"198",0.462260777113239
"199",0.251703378234416
"200",0.253351728997543
"201",0.453469879735801
"202",0.476203948448318
"203",0.476262837180209
"204",0.488888205219145
"205",0.463950323648613
"206",0.448478205309795
"207",0.445639591607397
"208",0.638146535598053
"209",0.628754993971536
"210",0.241807677087617
"211",0.24356308261494
"212",0.269641903800015
"213",0.635625684551866
"214",0.64123810500311
"215",0.619385752602031
"216",1.31717519281853
"217",1.32851918207199
"218",1.29799408786737
"219",0.470481264081075
"220",0.437354739211365
"221",0.42251120567816
